서울,양천구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,245.50,0.00,0.00,0.22,0.22,0.44,3.95,39.46,112.23,60.06,0.00,0.00,0.00,0.00,0.00,4.38,0.00,19.95,0.00,442.78,4.82,0.00,3.29,0.00,56.55,7.23,7.89,0.00,0.00,0.00,9.86,0.22,0.00,0.00,0.44,0.22,0.00,1.75,0.22,0.00,0.66,0.00,0.00,0.00,0.66,0.00,8.55,0.00,0.00,
서울,영등포구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,214.14,0.54,0.00,0.54,0.27,0.00,2.41,28.11,50.59,66.65,0.00,0.00,0.00,0.00,0.00,4.55,0.00,43.10,0.00,1148.35,6.69,0.27,1.87,0.00,163.02,5.89,5.89,0.27,0.00,0.00,9.10,0.27,0.00,0.00,0.80,1.07,0.00,2.14,0.80,0.00,0.27,0.00,0.00,0.27,0.27,0.00,20.88,0.00,1.07,
서울,용산구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,146.06,0.44,0.00,0.87,0.44,0.87,1.74,47.52,44.91,55.37,0.00,0.00,0.00,0.44,0.00,6.10,0.00,51.01,0.44,253.76,3.92,0.00,6.10,0.87,109.44,10.03,12.21,0.00,0.00,0.00,6.10,0.00,0.00,0.00,1.31,0.87,0.00,6.98,0.00,0.00,2.18,0.00,0.00,0.44,0.00,0.00,28.78,0.00,0.87,
서울,은평구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,239.82,0.21,0.00,0.00,0.00,0.21,4.58,48.13,75.22,81.68,0.00,0.00,0.00,0.21,0.00,5.00,0.00,29.17,0.00,638.21,7.08,0.00,2.08,0.00,66.26,5.63,5.63,1.04,0.00,0.00,8.75,0.42,0.00,0.00,0.83,1.04,0.00,1.67,0.42,0.00,0.21,0.00,0.00,0.00,0.00,0.00,10.83,0.21,0.00,
서울,종로구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,224.83,2.00,0.00,0.00,0.67,1.33,0.67,47.23,20.62,65.19,0.00,0.00,0.00,0.67,0.00,5.99,0.00,25.28,1.33,1656.94,5.99,0.67,2.00,0.00,99.78,5.32,6.65,0.67,0.00,0.00,5.32,0.00,0.00,0.00,0.67,0.67,0.00,2.66,0.00,0.00,1.33,0.00,0.00,1.33,0.00,0.67,26.61,0.00,0.00,
서울,중구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174.22,0.00,0.00,0.80,2.39,1.59,0.00,31.82,28.64,53.30,0.00,0.00,0.00,0.00,0.00,5.57,0.00,50.91,0.00,442.30,5.57,0.00,2.39,0.00,121.71,7.96,10.34,1.59,0.00,0.00,4.77,0.80,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.80,0.00,0.00,0.00,1.59,0.00,34.21,0.00,0.80,
서울,중랑구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,220.28,0.25,0.00,0.25,0.25,0.00,1.77,36.38,97.00,63.91,0.00,0.00,0.00,0.25,0.00,7.33,0.00,36.88,0.00,301.62,3.28,0.00,6.06,0.00,84.37,2.78,8.08,0.76,0.00,0.25,6.82,0.00,0.00,0.00,1.01,1.52,0.00,1.77,0.00,0.00,0.25,0.00,0.25,0.51,1.26,0.00,19.20,0.00,0.25,
부산,부산,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,284.26,0.15,0.00,0.73,0.88,0.65,1.59,12.20,99.68,67.53,0.00,0.03,0.00,0.03,0.00,3.50,0.00,53.69,0.03,529.34,2.26,0.26,3.61,0.00,202.00,0.97,3.44,0.71,0.00,0.15,62.98,1.00,0.00,0.00,1.73,1.18,0.00,1.03,0.21,0.00,0.06,0.00,0.03,0.03,0.71,0.00,12.75,0.00,0.00,
부산,강서구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,701.25,0.00,0.00,0.75,0.75,0.00,0.00,18.69,237.74,113.63,0.00,0.75,0.00,0.00,0.00,5.23,0.00,44.11,0.00,50.84,2.99,0.00,3.74,0.00,130.83,1.50,5.23,0.75,0.00,0.75,85.23,1.50,0.00,0.00,2.24,1.50,0.00,1.50,0.75,0.00,0.00,0.00,0.75,0.75,0.75,0.00,14.95,0.00,0.00,
부산,금정구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,209.44,0.00,0.00,0.85,0.00,1.70,1.70,8.90,66.99,55.96,0.00,0.00,0.00,0.00,0.00,2.54,0.00,126.34,0.00,146.27,2.12,0.00,1.70,0.00,187.82,0.00,2.12,0.00,0.00,0.00,109.81,1.27,0.00,0.00,4.66,1.70,0.00,0.85,0.00,0.00,0.42,0.00,0.00,0.00,0.00,0.00,8.90,0.00,0.00,
부산,기장군,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,448.03,0.00,0.00,1.18,0.00,1.18,2.95,11.79,107.29,157.40,0.00,0.00,0.00,0.00,0.00,1.77,0.00,51.29,0.00,156.81,2.36,0.00,3.54,0.00,170.37,0.00,1.77,0.00,0.00,0.59,145.61,1.18,0.00,0.00,2.95,0.00,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,1.77,0.00,9.43,0.00,0.00,
부산,남구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,226.48,0.00,0.00,0.74,0.74,0.74,1.48,7.38,56.07,37.62,0.00,0.00,0.00,0.00,0.00,4.43,0.00,66.39,0.00,160.82,3.32,0.74,3.32,0.00,163.77,0.74,2.95,1.48,0.00,0.00,41.68,1.48,0.00,0.00,0.74,1.11,0.00,1.84,0.37,0.00,0.00,0.00,0.00,0.00,0.37,0.00,11.43,0.00,0.00,
부산,동구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,219.13,0.00,0.00,0.00,1.13,0.00,5.65,9.04,62.12,38.40,0.00,0.00,0.00,0.00,0.00,4.52,0.00,35.02,0.00,642.70,2.26,0.00,3.39,0.00,376.13,2.26,5.65,0.00,0.00,1.13,63.25,1.13,0.00,0.00,2.26,1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.13,0.00,19.20,0.00,0.00,
부산,동래구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,260.89,0.00,0.00,0.37,2.21,0.74,3.32,14.02,120.30,70.11,0.00,0.00,0.00,0.00,0.00,3.69,0.00,119.19,0.00,473.07,0.37,0.00,2.21,0.00,140.59,1.48,3.32,0.37,0.00,0.00,57.20,1.11,0.00,0.00,2.21,1.85,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,1.85,0.00,9.96,0.00,0.00,
부산,부산진구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,284.22,0.56,0.00,0.28,1.39,0.56,0.84,9.20,121.77,75.23,0.00,0.00,0.00,0.00,0.00,4.46,0.00,22.01,0.00,656.48,2.51,0.00,5.02,0.00,190.31,0.56,3.62,0.84,0.00,0.28,47.09,0.84,0.00,0.00,1.67,0.56,0.00,1.11,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.23,0.00,0.00,
부산,북구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,319.26,0.00,0.00,0.70,1.74,0.70,0.00,10.09,31.65,67.12,0.00,0.00,0.00,0.00,0.00,3.48,0.00,63.64,0.00,178.41,4.87,0.35,2.78,0.00,171.80,0.70,5.22,0.00,0.00,0.00,76.16,1.74,0.00,0.00,0.35,2.09,0.00,1.39,0.35,0.00,0.00,0.00,0.00,0.00,1.04,0.00,13.91,0.00,0.00,
부산,사상구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,296.74,0.46,0.00,0.93,0.46,0.46,0.93,10.68,97.52,58.05,0.00,0.00,0.00,0.00,0.00,2.32,0.00,6.50,0.00,352.00,2.79,0.46,4.18,0.00,175.54,1.39,3.72,1.86,0.00,0.00,57.58,0.00,0.00,0.00,0.93,1.39,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,1.39,0.00,11.61,0.00,0.00,
부산,사하구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.24,0.32,0.00,0.32,0.32,0.00,1.90,13.91,158.67,91.66,0.00,0.00,0.00,0.00,0.00,3.16,0.00,46.46,0.00,110.94,1.58,0.63,3.79,0.00,243.69,0.95,2.84,0.95,0.00,0.32,31.61,0.00,0.00,0.00,0.95,1.26,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.17,0.00,0.00,
