통제번호,키워드1,키워드2,키워드3
1C011.b.,보론; 붕소; 붕소 합금; boron,금속; 합금; alloy; Metal,
1C011.c.,질산구아니딘; Guanidine nitrate,화합물; compound,
1C011.d.,니트로구아니딘; Nitroguanidine; NQ,화합물; compound,
1C011.e.,오플루오르화아이오딘; Iodine pentafluoride,화합물; compound,
1C012.,넵투늄; 플루토늄; 237; 238; neptunium; plutonium,원자력; nuclear,
1C101.,레이다; 레이더; 무인항공기; aerial; radar; UAV; unmanned; vehicle,,
1C102.,로켓; 관측용; 발사체; 우주선; launch; rocket; sounding; space; vehicle,탄소; carbon,
1C107.,흑연; 세라믹; 실리콘; 복합재료; 인조흑연; 카바이드; 니오븀카바이드; 탄탈륨카바이드; 티타늄카바이드; 하프늄카바이드; 니오븀이붕소화물; 지르코늄카바이드; 탄탈륨이붕소화물; 티타늄이붕소화물; 하프늄이붕소화물; 지르코늄이붕소화물; artificial graphite; carbide; carbide; ceramic; composite; diboride; graphite; hafnium; niobium; silicon; tantalum; titanium; titanium; zirconium; zirconium,노즐; 미사일; 관측로켓; 우주발사체; launch; missile; nozzle; sounding; space,로켓; rocket
1C111.,추진제; propellant,,
1C111.a.,추진물질; propulsive substances,,
1C111.a.1.,알루미늄; aluminium,분말; 추진제; powder,구형; 타원형; spherical; spheroidal
1C111.a.2.,베릴륨; 마그네슘; 지르코늄; Beryllium; Magnesium; Zirconium,연료; 금속연료; fuel,구형; 박형; 분쇄형; 연마형; 타원형; spherical; spheroidal
1C111.a.3.,산화물질; oxidiser substances,,엔진; 추진로켓
1C111.a.3.a.,디나이트로젠 트리옥사이드; Dinitrogen trioxide,,
1C111.a.3.b.,디나이트로젠 테트록사이드; 나이트로젠 디옥사이드; dinitrogen tetroxide; Nitrogen dioxide,,
1C111.a.3.c.,디나이트로젠 펜톡사이드; Dinitrogen pentoxide,,
1C111.a.3.d.,질소산화물; MON; Oxides of Nitrogen,이산화질소; 사산화이질소; Dinitrogen Tetroxide; Nitrogen Dioxide,
1C111.a.3.e.,Inhibited Red Fuming Nitric Acid; IRFNA,,
1C111.a.3.f.,,불소화합물,산소; 질소; 할로겐; halogens; nitrogen; oxygen
1C111.a.4.,유도체; 히드라진; 액체추진제; 하이드라진; deriative; hydrazine; liquid propellant,,
1C111.a.4.a.,트리메틸히드라진; Trimethylhydrazine,,
1C111.a.4.b.,테트라메틸히드라진; Tetramethylhydrazine,,
1C111.a.4.c.,"N,N 디알리히드라진; N,N diallylhydrazine",,
1C111.a.4.d.,알릴히드라진; Allylhydrazine,,
1C111.a.4.e.,에틸렌 디히드라진; Ethylene dihydrazine,,
1C111.a.4.f.,모노메틸히드라진 디나이트레이트; Monomethylhydrazine dinitrate,,
1C111.a.4.g.,비대칭 디메틸히드라진 나이트레이트; Unsymmetrical dimethylhydrazine nitrate,,
1C111.a.4.h.,히드라지니움 아자이드; Hydrazinium azide,,
1C111.a.4.i.,"1,1-디메틸히드라지니움 아자이드; 1,1-Dimethylhydrazinium azide; 1,2-디메틸히드라지니움 아자이드 ; 1,2-Dimethylhydrazinium azide",,
1C111.a.4.j.,히드라지니움 디나이트레이트; Hydrazinium dinitrate,,
1C111.a.4.k.,디이미도 옥살산 디히드라진; Diimido oxalic acid dihydrazine,,
1C111.a.4.l.,2-하이드로시에틸히드라진 나이트레이트; 2-hydroxyethylhydrazine nitrate; HEHN ,,
1C111.a.4.m.,히드라지니움 퍼클로레이트; Hydrazinium perchlorate,,
1C111.a.4.n.,히드라지니움 디퍼클로레이트; Hydrazinium diperchlorate,,
1C111.a.4.o.,메틸히드라진 나이트레이트; Methylhydrazine nitrate; MHN,,
1C111.a.4.p.,"1,1-디에틸히드라진 나이트레이트; 1,1-Diethylhydrazine nitrate; 1,2-디에틸히드라진 나이트레이트 ; 1,2-Diethylhydrazine nitrate; DEHN",,
1C111.a.4.q.,"3,6-디히드라지노 테트라진 나이트레이트; 3,6-dihydrazino tetrazine nitrate(1,4-dihydrazine nitrate); DHTN",,
1C111.a.4.r.,히드라진 모노나이트레이트; Hydrazine mononitrate,,
1C111.a.5.,하이드라진 대체연료; 히드라진 대체연료; Hydrazine replacement fuels,히드라진; 하이드라진; Hydrazine,연료; fuel
1C111.a.5.a.,2-디메틸아미노에틸아자이드; 2-Dimethylaminoethylazide; DMAZ,,
1C111.b.,바인더; binder,고분자; polymer,
1C111.b.1.,카르복시-터미네이티드 폴리부타디엔; 카르복실-터미네이티드 폴리부타디엔; carboxyl-terminated polybutadiene; Carboxy-terminated polybutadiene; CTPB,,
1C111.b.2.,하이드록시-터미네이티드 폴리부타디엔; 하이드록실-터미네이티드 폴리부타디엔; HTPB; hydroxyl-terminated polybutadiene; Hydroxy-terminated polybutadiene,,
1C111.b.3.,폴리부타디엔-아크릴산; PBAA; Polybutadiene-acrylic acid,,
1C111.b.4.,폴리부타디엔-아크릴산-아크릴로나이트릴; PBAN; Polybutadiene-acrylic acid-acrylonitrile,,
1C111.b.5.,공중합체; 폴리테트라하이드로퓨란 폴리에틸렌글리콜; 블록 공중합체; block co-polymer; co-polymer; Polytetrahydrofuran polyethylene glycol; TPEG,"폴리에틸렌 글리콜; 폴리 1,4-부타디엔디올; PEG; poly 1,4-Butanediol; polyethylene glycol",
1C111.b.6.,폴리글리시딜 나이트레이트; PGN; poly GLYN,,
1C111.c.,첨가제; 추진제 보조제; 추진제 안정화제; 연소 속도 조절제; propellant additive; propellant agent,,가소제; plasticize
1C111.c.1.,"카르보란; 데카보란, 펜타보란; Carboranes; decaboranes; pentaboranes",,
1C111.c.2.,트리에틸렌 글리콜 디나이트레이트; TEGDN; Triethylene glycol dinitrate,,
1C111.c.3.,2-나이트로디페닐아민; 2-Nitrodiphenylamine,,
1C111.c.4.,트리메틸로에탄 트리나이트레이트; TMETN; Trimethylolethane trinitrate,,
1C111.c.5.,디에틸렌 글리콜 디나이트레이트; DEGDN; Diethylene glycol dinitrate,,
1C111.c.6.,페로신 유도체; Ferrocene derivatives,유도체; 페로신; derivatives; Ferrocene,
1C111.c.6.a.,카토신; catocene,,
1C111.c.6.b.,에틸 페로신; Ethyl ferrocene,,
1C111.c.6.c.,이소-프로필 페로신; iso-propyl ferrocene; n-프로필 페로신; n-Propyl ferrocene ,,
1C111.c.6.d.,n-부틸 페로신; n-butyl ferrocene,,
1C111.c.6.e.,펜틸 페로신; Pentyl ferrocene,,
1C111.c.6.f.,디사이클로펜틸 페로신; Dicyclopentyl ferrocene,,
1C111.c.6.g.,디사이클로헥실 페로신; Dicyclohexyl ferrocene,,
1C111.c.6.h.,디에틸 페로신; Diethyl ferrocene,,
1C111.c.6.i.,디프로필 페로신; Dipropyl ferrocene,,
1C111.c.6.j.,디부틸 페로신; Dibutyl ferrocene,,
1C111.c.6.k.,디헥실 페로신; Dihexyl ferrocene,,
1C111.c.6.l.,"아세틸 페로신; 1,1'-디아세틸 페로신; 1,1'-diacetyl ferrocene; Acetyl ferrocene",,
1C111.c.6.m.,"페로신 카르복실릭산; 1,1'-페로신 카르복실릭산; 1,1'-Ferrocenedicarboxylic acid; ferrocene Carboxylic acids ",,
1C111.c.6.n.,부타신; butacene,,
1C111.c.6.o.,로켓 추진체 연소 속도 개선제; rocket propellant burning rate modifiers,,
1C111.c.7.,"4,5-디아지도메틸-2-메틸-1,2,3-트리아졸; 4,5 diazidomethyl-2-methyl-1,2,3-triazole; iso-DAMTR",,
1C111.d.,젤 추진제; Gel propellants,연료; 산화제 합성물; fuel; oxidiser formulation,점토; 카본; 탄소; 겔화제; 규산염; 젤화제; 중합체; 추진제; 카오린; 고분자 겔화제; carbon; clay; gellant; kaolin; polymeric gellant; propellants; silicates
1C116.,마레이징강; Maraging steels,강; 철강; 철합금; iron alloys; steel,
1C117.,텅스텐; 몰리브덴; Molybdenum; Tungsten,합금; alloy,미립자; 무인항공기; 우주발사체; missile; UAV
1C118.,듀플렉스; 스테인레스; 스테인리스; duplex; stainless,강; 철강; steel,
1C202.,티타늄; 알루미늄; Aluminium; Titanium,합금; alloy,원통; 튜브; cylinder; tube
